평균공부시간(1주일),평균수면시간(1일),학점(4.5만점)
12.5,8,3.4
16,8,3.55
22,6,3.9
9.5,6,3.49
20,6,3.63
7,7,3.01
16,10,3.65
3,8,1.8
4,7,1.8
13,7,3.58
12,6,2.7
8,8,2.7
13.33,7,3.35
32,8,3.92
15,7,3.65
9,8,3.05
7,8,3
16,7,3.7
3,8,2.79
8,6,2.74
7,7,2.45
25,7,3.84
25,6,3.92
3,8,1.8
23,7,3.77
13,6,3.55
22,6,3.8
7,7,3.2
30,7,4.25
28,5,4.15
28,7,4.2
9,8.5,3.1
29,6,3.85
22,7,3.85
28,4,4.22
0,8,1.25
21,8,3.8
19.33,8,3.75
17,7,3.7
27,8.5,3.87
27.5,7,4.13
15,6,3.3
16,8,3.65
25,7,4.09
33,7,3.65
12,6,3.38
20,6,3.25
13.16,8.17,3.29
28,5,4.4
7,7,3.1
11,7,3.45
10,8,3.5
15,8,3.44
13,8,3.3
28,6,4.23
22,8,3.6
6,7,3.2
7,7.5,3.25
26,6,3.6
10,7,3.2
3,7,2.7
5,6,2.84
17,7,3.09
11,8,3.5
12,7,3.5
7,8,2.8
3,7,2.5
15,8,3
3,7,2.74
19,6,3.95
10,8,3.26
21,7,3.74
24,5,3.45
9,7,2.5
25,7,3.5
8,5,3.15
7,5,2.55
28,6,3.86
25,6,3.8
25,7,4.19
22,7,3.9
21.5,7,3.5
5,6,2.04
16.5,6,3.75
15,7,3.45
35,6.33,3.96
3,5,2.7
0,8,1.4
21,7.5,3.65
19,9,3.15
7,5,3.01
13.5,6,3.4
8,7,3.27
28,6,4.29
21,7,3.8
28,6,4.15
14,6,3.3
12,7,3.3
15,8,3.35
20,8,3.8
32.5,5,3.94
10,8,3
4,7.5,2.65
14,6,3.5
14,7,3.3
14,6.5,3.35
21,7,4
15.5,7,3.59
7.5,4.5,3.25
22,7,3.8
16,5,3.6
24,6.66,4.07
6,5,2.2
7,6.5,3.25
6,4,3.15
22,8,3.7
29,7,4.28
7,7,3
5,6,3.25
8,6,2.8
23,7,4.01
23,7,3.9
5,7,2.85
6,8,3.2
5,7,3.1
14,7,3.3
14,6,3.5
5,8,2.7
9,8,3.39
20,7,3.35
42,6,4.5
8,7,3
14,5,3.65
15.5,7,3.7
10,6,3.25
12,7,3.4
14,6.5,3.58
25,6.5,4.16
24,7,4
8,7,3.2
9,6,2.8
7,7,3
30,9,4.22
14,6,3.65
1,7,1.7
17,7,3.72
7,8,2.9
18,8,3.71
8,9,2.84
0,7.5,1.94
24,6,3.98
15,5,3.7
18,6,3.77
26,7,3.94
2,8,1.9
5,8,2.6
7,5,3
13,4,3.5
32,6,4.1
22,6,3.8
21,6,3.74
32,7,3.95
12,8,3.3
27,7,4.1
15,8,3.35
28,6,3.95
18,7,3.3
16,7,3.73
3,8,1.8
10,7,3.25
28,9,3.89
6,7,3.25
23.5,6,3.81
14,7,3.58
25,6.5,4.09
5,9,3.1
20,7,3.55
20,9,3.4
12,8,3.5
7,6,3
26,4.5,3.6
30,7,4.26
6,6,3.16
13,8,3.47
28.5,7,3.9
21,7,3.7
5,7,2.94
22,7,3.7
8,6.5,3.15
7,6,3.15
14,5,3.55
3,5.5,2.47
14,4,2.95
28,8,4.07
9,8,3.35
10,7,3.25
10,7.5,3.5
3,7,2.75
7,6,3.15
8.5,6,3.35
6,7,2.9
0,7,1.85
20,6,2.85
22,7,3.9
10,6,3.26
3,7,2.65
9,8,3.35
6,7,3.1
33,4,4.06
18.5,7,3.61
16,7,3.62
8,6,3
10,6,3.55
7,6,2.4
42,8.5,4.45
14,5,3.51
9,5,3.42
9,7,3.05
8,7.33,2.64
40,6,4.36
21,6.5,3.7
11,7,3.55
3,8,1.82
10,8,3
10,7,3.5
30,7,3.92
38,4,4.1
3,5,1.75
16,8,3.75
14,8,3.3
7,8,2.55
24,6,3.8
1,7,1.7
11,6.5,3.49
11,9,3.55
13.5,5,3.5
32,5,4.14
12,4,3.3
11.17,7,2.85
6,7,3.21
22,6.66,3.35
17,6.5,3.75
25,8,3.84
15,7,3
12,7.5,3.45
6,6,2.5
6,6,3.15
24,5,3.8
8,8,3.25
12,7,3.4
12,7,3.5
2,8,1.9
22,5,3.81
23,6,4.01
7,6,3
25,6.5,4.2
16,8,3.61
8,8,3
40,6,4.13
11,6,3.1
35,7,4.35
25,5.5,4.05
42,5,4.44
19,7,3.6
16,9,3.65
19,8,3.98
10,7,3.4
8,7,3.08
17.5,6,3.75
6,6,3
22,7,4
19,9,3.78
16,7,3.75
14,8,3.07
19,6,3.7
11,6,3.45
25,7,3.5
18,5.5,3.79
14,7,3.3
2,6.5,2.65
1,7,1.7
18,7,3.5
28,6,3.98
12,8,3.58
15.34,6.5,3.45
4,12,2.45
9.5,7,3.55
5,8,2.55
26,7,3.9
3,5,1.75
25,7,4.15
14,9,3.25
8,7,3.05
11,7,3.4
5,8,3.1
25,6,3.91
20,8,3.65
3,5,1.77
5,7,2.01
27,5,4.22
27,6,4.1
7,7,3.05
19,8,3.56
24,7,4.07
10,8,3.3
35,6.5,3.94
44,7,4.5
1,7,1.8
11,6.5,3.5
21,7,4
10.5,7,3.33
49,7,4.5
6,6,3
8,7,3.19
24,6,3.65
11,7,2.61
15,7,3.75
27,6,4.1
6,7,2.65
7,8,2.8
21,8,3.78
22,6,3.65
6,9,3.1
28,5.5,4.25
11,5,3.26
12,10,3.39
18,8,3.25
21,6,4
15,6,3.79
28,7,4.2
16,7,3.7
6,6,3.05
17,6.5,3.5
5,6.5,2.8
4,6,3.05
5,7.17,2.75
0,8,1.4
28,6,4.25
7,8,3
30,8,3.9
20,3.5,3.55
8,7,3.05
13,6,3.39
9,6,2.5
5,4,2.9
5,10,2.8
21,6,3.66
35,8.5,4.4
23,7,3.03
12,6,3.5
32,6.5,3.96
5,8,3
23,8,3.83
25.5,8,4.04
19,6,3.61
2,8,1.9
2,7,2.79
0,8,1.4
4,7,1.92
6,8,2.85
6,8,3.05
26,7,4.15
12,7,3.05
23,6.5,3.6
15,7,3.25
7,7,2.8
12,7,3.2
24,6,3.85
16,6,3.25
13,7,3.5
40,7,4.45
16.5,7,3.76
10,6.5,3.4
7,6,3.25
10,8,3.4
5,6.5,3.18
22,8,3.95
17,8,3.1
32,8.5,3.95
28,7,3.95
10,9,2.95
15,7,3
14,6.5,3.35
26,7,4.18
6,9,3.05
16,8,3.4
23,6,3.56
20,8,3.98
29,6,4.29
28,7,3.92
29,7,4.21
30,6.5,3.95
13,8,3.45
14,8,3.3
10,7,3.5
26,8,3.96
8,6,2.95
24,6.5,3.3
30,6,4.25
13,8.5,2.63
15,6,3.7
7,8.5,3
28,6,4.3
8,6,3.2
10,7,3
26,7,4.25
12.5,5,3.5
17,7.5,3.78
24,7,3.95
9,8,3.37
7,6,3
19,8,3.9
10,6,3.22
13,7,3.48
9,5,2.78
15,6,3.5
19,6,3.65
15,6,3.45
18,7,3.8
10,6.5,2.98
4,7.5,2.5
4,6,2.7
11,7.5,3.2
4,4,2.75
25,7,3.95
15,7,3.72
15.5,6,3.72
14,6,3.5
19,5,3
5,7,2.55
9.5,7.5,3.45
14,5.5,3.36
10,8,3.15
8,7,3
15,8,3.25
9,5,3.4
9,6.5,3.46
10,6,3.4
11,6,3.2
4,5,2.7
32,8,4.38
10.5,6,3.5
7,6,3
12.5,7,3.4
6,8,2.9
13,8,2.95
10,7,2.96
14,7,2.95
13,7,3.55
17,7,3.5
10,7,3.5
19,7,4
30,6,4.25
2,10,2.7
6,7,3
5,6.5,2.6
17,7,3.5
24,6,3.6
20,6,3.65
14,7,3.45
10,5,3.18
3,7,2.79
22,7.5,3.8
6,7,3.25
2.33,6,2.3
14,7,3.49
13,8,3.35
8,6,3.2
3,7,2.6
22,5,3.85
22,7,3.25
20,7,3.35
18,7,3
6,5,3
13.5,7,3.35
3,5,1.75
19,6,3.2
6,7,2.5
9,7,3.1
23,7,3.6
10,8,3.4
24,6,3.65
28,6.5,4.05
24,7.66,4.11
7,7,2.8
6,6,3.1
26.5,9,4.25
2,6,2.79
20,8,3.85
14,7,3.5
10,7,3.35
10,6,3.4
24.5,6,4.16
15,8,3.45
28,6,4.2
11,6,3.15
10,7,3.3
21,7,3.6
12,8,3.58
5,7,3.1
12.5,8,3
24,7,3.85
21,6,4
29,7,4.11
10,8,2.95
17,6,3.75
15,6,3.45
14,7,3.3
5,7,3.2
10,7,2.9
42,6,4.5
5,6,3.05
4,7,2.45
49,7,4.5
28,7,3.9
16.5,7.5,3.6
16,7,3.73
14,7,3.25
10,4,3.5
11,6.5,3.2
15,7,3.35
5,7,3.25
20,4,3.65
8,8,3.05
13,7.5,3.1
26,7,3.74
21,6,3.65
12,8,3.35
22,9,3.7
15,6.33,3.25
28,7.17,3.95
14,8,3
17,9,3.7
27,4.5,4.11
13,8,3.53
27,6,4.3
8,7,3.01
23,6,3.6
20,7,3.79
6,5,2
9,8,3.32
25,6,3.84
14,7,3.26
21,7,3.9
10,8,3.44
25,6.5,4.15
5,6,2.7
3,8,1.8
4,8,2.65
24,8,3.8
3,8,2.78
28,8,4.22
15,7,3.75
10,7,3.03
19,8,3.85
14,7.33,3.3
10,7,3.4
12,7,3.28
2,6,2.79
14,6,3.5
25,7.5,3.55
10,6,3.02
15,6,3.62
7,7,2.91
7,6,3.2
25,7,4.21
5,7,3.1
12,8,3.4
4,7,3.05
5,7,2.75
6,7,2.8
3,8,1.8
24,6,3.8
3,5,2.55
4,7,2.25
17,8,3.75
2,7.17,2.45
10,8,3.05
3,7,2.3
20,6,3.93
14,6.5,3.7
9,6,3.35
10,7,3.25
15,6.5,3.2
10,8,3.25
5,7,3.1
16.5,6.5,3.6
15.5,5,3.3
5,7,1.85
22,7.5,3.65
6,7,3.15
11,5,3.16
15,10,3.51
5,5,2.5
12,6,3.5
20,7.5,3.7
22,6,3.8
8,5.5,3
20,8,3.74
2,7,2.55
27.5,7,4.13
18,8,3.55
2,7,1.92
33,6,4.25
13,6,3.35
20.17,8,3.45
39,8,4.5
22,6,3.35
0,8,1.25
4,8,2.7
15,6,3.5
15,7,3.48
5,4,3.1
17,7,3.65
30,6.5,3.87
21,4,3.7
7,6.5,3
28,8,3.85
23,5,3.8
0,7.5,1.94
2,8,2.5
14,6,2.97
28,6,3.9
10,7.5,3.4
3.67,7.5,2.22
19,5.5,3.35
0,6,1.21
7,6,2.75
14,6.5,3.54
10.5,8,2.7
22,6,3.65
10,8,3.45
15,7,3.15
23,6,4
22,6.5,3.68
14,8,3.2
16.5,8,3.7
19,7,3.6
21,7,3.6
16,7,3.68
13,7,3.5
7,7.5,2.29
20,6,3.88
3,7,2.7
5,8,2.2
25,7.5,4.22
10,6,3.29
5,6,2.3
28,6,4.2
17,7,3.65
19,7,3.5
14,7,3.52
3,7,2.75
22,6.5,3.73
28,7.17,3.9
0,8,0.5
9,7,3
12,8,3
0,8,1.4
8,7.5,3.1
6,7,3.15
15,7,2.87
7,6.5,2.35
17,7,3.75
22,7,3.8
8,7,3.15
25,4,4.05
9,8,2.9
5,7,2.9
14,7,3.17
10,7,3.45
13,7,3.44
10,8,3.35
19,8,3.84
2.5,8,2.7
15,7,3.1
25,7.5,3.82
0,8,1.25
2.5,6,2.85
25,7,3.8
15,7,3.05
12,7,3.2
28,7,4.2
23,6,3.61
26,5,4.07
13,7,3.5
14,6,3.3
21,7.5,3.65
19,7,3.65
24,8,3.89
1,7.5,2
21,9.5,3.85
12,6,3.4
14,7,3.44
24,7,4
14,6,3.7
12.5,6,3.35
21,6,3.65
13,5,3.33
15,5,3.53
2,8,2.78
28,6.33,4.05
17,6,3.75
28,7,3.9
0,6,1.2
32,6,3.58
12.5,7,3.4
5,7,3.1
8,7,3.12
20,6.5,2.87
39,6.5,4.2
20,7,3.6
15,6,3.52
22,7,3.91
22,7,3.7
22,7,3.9
6,7,3.29
14,7.5,3.3
22,5,3.95
14,6,3.32
12,8,3.55
6,7,2.75
19,7.17,3.85
15.5,6,3.55
28,6,4.25
10,6,3.1
5.5,8,2.7
28,8,4.23
7,6,2.9
22,7,3.73
22,5,3.25
12,7,3.4
15,7,3
15,7,3.6
5,7,3.1
20,6,3.15
20.5,6.5,3.46
18,5,3.91
16,6,3.66
23,7,4.02
9,7,3.42
14,6,3.25
28,6.5,3.94
12,6,3.5
10,7,3
21.5,7,3.77
32,5,4.35
7.5,6.5,2.76
25.5,6,4.33
39,6.5,4.14
10,7,3.25
6,6.5,3.05
7,7,2.63
19,7,3.3
14.5,10,3.59
9,9,2.8
32,6,3.79
15,8,3.7
17,7,3.75
15,7,3.3
9,6,3
23,6,3.63
18,7,3
0,7.5,1.94
15,8,3.6
21,7,3.55
7,7,2.5
24,6,4.05
10,5,3
26,6.5,3.86
9,7,3.05
20,7,3.73
5,7,2.95
23,7,3.6
9,6,3.2
19,7,3.85
24,8,3.8
28,7,4.39
14,8,3.5
25,8,4.1
7,7,3.25
28,7,3.95
15,6.5,3.59
7,5,2.65
32,7.5,3.99
3,5,1.77
19,6,3.6
12.5,5.5,3.55
11,8,3.15
13,6,3.45
21,6.5,3.4
26,8,4.03
28,8,3.99
15,7,3.2
14,7,3.59
17,8,3.55
37,6,4.31
16,7,3.79
13,6,3.45
5,7,3.25
15,7,2.9
27,7,4.12
4,7,1.85
15,8,3.06
17,6,3.75
5,7,2.8
15.5,8,3.68
16,8,3.69
20,7,3.6
5,6.5,2.7
11,6,3.55
6,7,3
10,7.5,3.15
5,7,2.65
19,4,3.9
29,6,3.92
12,6,3.2
5,7,2.75
13,8,3.45
22,9,3.7
15,7,3.37
10,7,3.5
12,6,3.5
22.5,8,3.6
28,6,3.95
19,7,3.39
10,8,3.4
35,9,4.15
13.5,10,3.35
11,7,3.5
18.5,6,3.75
20,5,3.37
13,5,3.33
12,6.5,3.03
22,6.5,3.59
27,6,4.3
7.5,6,2.6
5,6.5,2.4
12,8,3.5
12.5,7,3.45
17,7,3.6
27,5,4.4
9,5,3.4
14,7,3.66
28.5,8,4.25
2,7,2.2
8,7,3.05
6,7,3.1
8,4.5,3.05
8,7,3.05
23,7,4.01
12,7,3.5
10,6,3.25
10,6,3.15
0,6,1.5
6,7,2.08
25,8,4.24
16,7,3.7
26,6.5,3.6
13,6.5,3.52
8,6,3.2
9,7,3.32
16,6.5,3.5
3,8,1.8
12,7,2.94
16,6,3.7
6,7,3.15
6,6,2.93
34,4,3.95
19,7,3.74
14.5,7.33,3.25
12,7,3.2
19,8,3.7
8,8,3
13,7,3.35
6,8,3
13.66,6.5,3.45
16,7,3.2
5,7,2.85
12,7,3.3
19,7,3.62
5,8,2.9
1,7,2.05
3,7,2.65
13,6,3.32
23,7,3.55
5,8,3.15
6,7,2.7
22.5,6.5,3.85
22,7,3.9
20,7,3.55
13,6,3.42
26,8,4.05
20,7,3.65
14.83,7,3.3
17,6.5,3.74
27,6,4.15
15,6,3.7
15.3,6,3.5
22,6,3.73
5,8,3.1
10,5.5,3.5
6,5,3
5,6,2.97
4,7,2.65
5,6,2.8
15,7,3.65
25,8,4
14.33,6,3.56
24,7,3.7
22,5,4
7,7,2.95
10,8,3.16
15,6,3.1
15,7,3
20,6.5,3.5
5,5,2.55
15,6,3.62
22,7,3.6
8,8,2.89
17,5,3.75
22.99,8,3.65
30,8,3.9
1,8,1.95
16,6,3
18,7,3.72
24,8.5,3.45
8,8,3.05
28,8.5,3.83
12,5,3.45
20,7,3.6
7,6,3.25
2,8,2.5
19,7,3.74
10,8,2.6
8,5,2.7
18.5,5,3.59
9,7,3.4
10,5,3.07
13,9,3.3
28,4,4.2
12,4,3
6,8,3.12
5,7,2.55
29,7,4.06
13,6,3.5
28,7,4.34
25,7,3.8
2,7,2.65
13,8,3.15
12,8,2.85
24,6,3.7
13.5,7,3.34
25,6,4.17
8,6,2.9
10,7,3.4
12,7,3.18
10,7,3.25
9.5,9,3.1
26,7,4.2
6,5,3.25
14,5,3.63
23,6.17,4.01
24,6,3.85
9.67,8.17,3.3
17,7,3.6
23,7,4.02
18,6.5,3.2
10,7,2.95
2,7,1.7
5,8,2.75
11,6,2.7
11,7,3.5
11,9,3.2
10,6,3.44
8,10,2.8
13,7,3
9,7,2.9
22,7,3.8
25,7,4.05
19,6,3.95
26,8,4.1
14,7,3.05
5,7,3.1
22,7,3.95
30,8,4.31
49,12,4.5
10,5,3.49
18.17,6.5,3.7
20,8,3.08
1,7,1.8
2.5,10,2.2
14,7,3.05
8,6,3.15
5.66,8,3.15
11,7,3
9.5,7,3.2
30,7,3.54
22,9,3.95
12,7,2.65
2,5,2.89
19,10,3.7
27,6,4.22
20.5,8,4
5,7,2.74
6,8,3.15
10,6,3.52
6,7,3.05
5,7,2.85
23,8,3.05
16,8,3.5
8,7,3.2
5,7,2.12
6,8,2.75
24,6,3.4
7,6,2.45
5.5,6,2.3
10,7,3.5
3,7,1.92
9,7,2.7
2,7,1.85
23,6,4.03
2,8,1.9
12,7,2.5
28,6,3.85
14,7,3.2
17,7,3.63
25,6,3.85
22,9,4
1,7,1.71
10,6,3.11
19,8,3.6
31,5,4.32
19,6,3.65
3,5,2.8
22,7,3.95
